HardwareTimestamp,PythonTimestamp,ax,ay,az,gx,gy,gz,mx,my,mz,temp,press,alt,head,sat,lat,lon,gpsAlt
1151541,0.0,-9.407542991638184,-2.805700492858887,0.18585460186004643,-0.053292494267225266,0.029044410213828087,0.007194486912339926,-2.7028382492065433,4.286490077972412,-15.350850067138673,35.0,101579.0,13.773425102233887,160.37060546875,0.0,0.0,0.0,0.0
1151581,1151555.0485839844,-9.340505409240723,-2.805700492858887,0.2648633003234864,-0.054091885685920715,0.026912709698081017,0.009059724397957325,-2.827832527160645,4.261490936279297,-17.125779113769532,35.0,101579.0,12.94320297241211,160.65386962890625,0.0,0.0,0.0,0.0
1151621,1151562.6066894531,-9.43507652282715,-2.821262788772583,0.20021985769271855,-0.05222664400935173,0.023448698222637177,0.013323123566806316,-2.7861684036254886,4.386486167907715,-15.709170303344727,35.0,101579.0,13.524200439453125,160.08457946777344,0.0,0.0,0.0,0.0
1151661,1151569.0061035156,-9.449441719055176,-2.848796081542969,0.22895025014877324,-0.05249311029911041,0.029577335342764854,0.006395099684596062,-2.827832527160645,5.169787998199463,-15.517510375976563,35.0,101579.0,13.358054161071777,157.03677368164062,0.0,0.0,0.0,0.0
1151701,1151575.5031738281,-9.498522567749024,-2.851190280914307,0.21578215360641484,-0.05515773221850395,0.02931087277829647,0.010658498853445053,-2.827832527160645,4.744804973602295,-15.192524871826173,35.0,101579.0,13.856501579284668,158.70713806152344,0.0,0.0,0.0,0.0
1151741,1151580.1879882812,-9.488945770263673,-2.8523873805999758,0.18465750217437749,-0.05302603542804718,0.02504747360944748,0.007727412041276693,-2.3861840438842776,5.761430854797363,-11.251015625,35.0,101579.0,13.191910743713379,153.97560119628906,0.0,0.0,0.0,0.0
1151781,1151587.9243164062,-9.49972038269043,-2.808094692230225,0.26965169906616215,-0.05355895683169365,0.028245022520422935,0.013589587062597275,-2.919495887756348,4.786470050811768,-15.009198150634766,35.0,101579.0,13.191910743713379,158.68370056152344,0.0,0.0,0.0,0.0
1151821,1151595.1801757812,-9.425499725341798,-2.7877439975738527,0.16789810657501225,-0.05382541939616203,0.02851148694753647,0.008526799269020557,-2.761168785095215,4.386486167907715,-15.775834045410157,35.0,101579.0,13.441126823425293,160.04771423339844,0.0,0.0,0.0,0.0
1151861,1151605.5256347656,-9.43268280029297,-2.7937294960021974,0.15951840877532963,-0.052759572863578796,0.02851148694753647,0.006128636654466391,-2.9611609649658206,4.328155155181885,-16.8091268157959,35.0,101579.0,12.94320297241211,160.5738067626953,0.0,0.0,0.0,0.0
1151901,1151607.3034667969,-9.3452938079834,-2.8164743900299074,0.23732994794845585,-0.05249311029911041,0.02851148694753647,0.010924961417913437,-2.5445111465454104,4.044832820892334,-16.225815734863282,35.0,101579.0,13.108839988708496,161.144287109375,0.0,0.0,0.0,0.0
1151981,1151615.0534667969,-9.425499725341798,-2.8607670783996584,0.16310970783233647,-0.054091885685920715,0.02931087277829647,0.0015987749211490154,-2.919495887756348,5.061459178924561,-16.3341455078125,35.0,101579.0,13.025769233703613,157.6065216064453,0.0,0.0,0.0,0.0
1152021,1151622.7258300781,-9.496128845214844,-2.8332337856292726,0.20620535612106328,-0.05355895683169365,0.023448698222637177,0.019185297191143036,-2.744503326416016,4.453149909973145,-17.359103164672852,35.0,101579.0,13.358054161071777,159.75198364257812,0.0,0.0,0.0,0.0
1152061,1151633.9201660156,-9.551194953918458,-2.78056116104126,0.19782565832138066,-0.052759572863578796,0.029044410213828087,0.007194486912339926,-2.652839965820313,5.628102893829346,-12.067648849487306,35.0,101579.0,12.11304759979248,154.97251892089844,0.0,0.0,0.0,0.0
1152101,1151640.3991699219,-9.463806915283204,-2.8607670783996584,0.2253589510917664,-0.054624807089567184,0.03144257143139839,0.008260336704552174,-2.7195037078857425,4.82813512802124,-16.084155044555665,35.0,101579.0,13.358054161071777,158.20523071289062,0.0,0.0,0.0,0.0
1152148,1151646.7436523438,-9.438668060302735,-2.828445386886597,0.17747490406036381,-0.052759572863578796,0.025313934311270714,0.008260336704552174,-2.9028304290771487,3.953169937133789,-17.984078369140626,35.0,101578.0,13.358054161071777,162.02157592773438,0.0,0.0,0.0,0.0
1152227,1151652.8530273438,-9.366842079162598,-2.78056116104126,0.19662855863571171,-0.052759572863578796,0.026379786431789398,0.016254210844635963,-2.744503326416016,4.628142948150635,-15.417515716552735,35.0,101578.0,13.524200439453125,159.04493713378906,0.0,0.0,0.0,0.0
1152267,1151660.8269042969,-9.35367374420166,-2.82485408782959,0.14994161128997807,-0.05169371888041496,0.026912709698081017,0.006128636654466391,-2.8694976043701175,4.169828052520752,-14.642546615600587,35.0,101578.0,13.773425102233887,161.0870361328125,0.0,0.0,0.0,0.0
1152307,1151667.4411621094,-9.427894401550294,-2.842810583114624,0.22655605077743535,-0.05169371888041496,0.02931087277829647,0.01039203628897667,-2.7861684036254886,5.12812292098999,-16.442473373413087,35.0,101578.0,13.607275009155273,157.13040161132812,0.0,0.0,0.0,0.0
1152347,1151671.1516113281,-9.455426979064942,-2.7865468978881838,0.1583213090896607,-0.05249311029911041,0.026912709698081017,0.010924961417913437,-2.919495887756348,4.386486167907715,-15.417515716552735,35.0,101578.0,13.358054161071777,160.27899169921875,0.0,0.0,0.0,0.0
1152387,1151678.8825683594,-9.496128845214844,-2.829642486572266,0.13797061443328862,-0.0543583482503891,0.030376723036170006,0.0045298621989786625,-2.9028304290771487,5.644768829345703,-12.542630157470704,35.0,101578.0,13.856501579284668,155.34768676757812,0.0,0.0,0.0,0.0
1152427,1151686.4719238281,-9.476975250244141,-2.848796081542969,0.17867200374603276,-0.05355895683169365,0.029843797907233238,0.011724349111318588,-2.744503326416016,4.428150768280029,-16.83412452697754,35.0,101578.0,13.358054161071777,159.85354614257812,0.0,0.0,0.0,0.0
1152467,1151692.4333496094,-9.44585018157959,-2.823656988143921,0.17388360500335698,-0.05489126965403557,0.025580398738384247,0.008793261833488941,-2.61117488861084,4.728139038085938,-15.275853118896485,35.0,101578.0,13.690349578857422,158.43338012695312,0.0,0.0,0.0,0.0
1152507,1151699.0493164062,-9.419514465332032,-2.829642486572266,0.18346040248870854,-0.04956202208995819,0.02717917412519455,0.008526799269020557,-3.0528243255615237,4.503148193359375,-11.01769157409668,35.0,101578.0,12.610931396484375,160.00485229492188,0.0,0.0,0.0,0.0
